id	Kanji	JLPT-test	"Reading within Joyo"
1039	辱	1	ジョク、はずかし-める
1048	侵	1	シン、おか-す
1050	津	1	シン、つ
1052	唇	1	シン、くちびる
1053	娠	1	シン
1054	振	1	シン、ふ-る、ふ-るう、ふ-れる
1055	浸	1	シン、ひた-す、ひた-る
1059	紳	1	シン
1062	診	1	シン、み-る
1064	慎	1	シン、つつし-む
1066	審	1	シン
1068	薪	1	シン、たきぎ
1071	刃	1	ジン、は
1072	仁	1	ジン、[ニ]
1073	尽	1	ジン、つ-くす、つ-きる、つ-かす
1074	迅	1	ジン
1075	甚	1	ジン、はなは-だ、はなは-だしい
1076	陣	1	ジン
1077	尋	1	ジン、たず-ねる
1079	須	1	ス
1083	垂	1	スイ、た-れる、た-らす
1084	炊	1	スイ、た-く
1085	帥	1	スイ
1086	粋	1	スイ、いき
1087	衰	1	スイ、おとろ-える
1088	推	1	スイ、お-す
1089	酔	1	スイ、よ-う
1090	遂	1	スイ、と-げる
1091	睡	1	スイ
1092	穂	1	スイ、ほ
1093	随	1	ズイ
1094	髄	1	ズイ
1095	枢	1	スウ
1096	崇	1	スウ
1098	据	1	す-える、す-わる
1099	杉	1	すぎ
1101	寸	1	スン
1102	瀬	1	せ
1103	是	1	ゼ
1104	井	1	セイ、[ショウ]、い
1113	征	1	セイ
1116	斉	1	セイ
1119	牲	1	セイ
1122	逝	1	セイ、ゆ-く、い-く
1124	盛	1	セイ、[ジョウ]、も-る、さか-る、さか-ん
1125	婿	1	セイ、むこ
1128	聖	1	セイ
1129	誠	1	セイ、まこと
1131	製	1	セイ
1132	誓	1	セイ、ちか-う
1134	請	1	セイ、[シン]、こ-う、う-ける
1135	整	1	セイ、ととの-える、ととの-う
1139	斥	1	セキ
1143	析	1	セキ
1147	惜	1	セキ、お-しい、お-しむ
1156	拙	1	セツ、つたな-い
1157	窃	1	セツ
1161	摂	1	セツ
1162	節	1	セツ、[セチ]、ふし
1164	舌	1	ゼツ、した
1168	仙	1	セン
1171	宣	1	セン
1176	染	1	セン、そ-める、そ-まる、し-みる、し-み
1177	扇	1	セン、おうぎ
1178	栓	1	セン
1179	旋	1	セン
1186	践	1	セン
1188	銭	1	セン、ぜに
1189	潜	1	セン、ひそ-む、もぐ-る
1191	遷	1	セン
1193	薦	1	セン、すす-める
1194	繊	1	セン
1195	鮮	1	セン、あざ-やか
1198	善	1	ゼン、よ-い
1200	禅	1	ゼン
1201	漸	1	ゼン
1203	繕	1	ゼン、つくろ-う
1204	狙	1	ソ、ねら-う
1205	阻	1	ソ、はば-む
1207	租	1	ソ
1208	素	1	ソ、ス
1209	措	1	ソ
1210	粗	1	ソ、あら-い
1212	疎	1	ソ、うと-い、うと-む
1213	訴	1	ソ、うった-える
1214	塑	1	ソ
1216	礎	1	ソ、いしずえ
1218	壮	1	ソウ
1222	奏	1	ソウ、かな-でる
1224	荘	1	ソウ
1227	倉	1	ソウ、くら
1229	挿	1	ソウ、さ-す
1230	桑	1	ソウ、くわ
1231	巣	1	ソウ、す
1233	曹	1	ソウ
1235	爽	1	ソウ、さわ-やか
1237	創	1	ソウ、つく-る
1238	喪	1	ソウ、も
1240	葬	1	ソウ、ほうむ-る
1242	僧	1	ソウ
1246	遭	1	ソウ、あ-う
1247	槽	1	ソウ
1249	操	1	ソウ、みさお、あやつ-る
1251	霜	1	ソウ、しも
1252	騒	1	ソウ、さわ-ぐ
1253	藻	1	ソウ、も
1261	即	1	ソク
1264	促	1	ソク、うなが-す
1271	俗	1	ゾク
1273	属	1	ゾク
1274	賊	1	ゾク
1277	率	1	ソツ、リツ、ひき-いる
1286	汰	1	タ
1288	妥	1	ダ
1290	堕	1	ダ
1291	惰	1	ダ
1292	駄	1	ダ
1296	耐	1	タイ、た-える
1298	怠	1	タイ、おこた-る、なま-ける
1299	胎	1	タイ
1302	泰	1	タイ
1305	逮	1	タイ
1308	隊	1	タイ
1309	滞	1	タイ、とどこお-る
1310	態	1	タイ
1315	第	1	ダイ
1317	滝	1	たき
1319	択	1	タク
1320	沢	1	タク、さわ
1321	卓	1	タク
1322	拓	1	タク
1323	託	1	タク
1325	諾	1	ダク
1326	濁	1	ダク、にご-る、にご-す
1327	但	1	ただ-し
